,Round,Match
0,ROUND 8,Luton - Tottenham
1,ROUND 8,Burnley - Chelsea
2,ROUND 8,Everton - Bournemouth
3,ROUND 8,Fulham - Sheffield United
4,ROUND 8,Man United - Brentford
5,ROUND 8,Crystal Palace - Nott'm Forest
6,ROUND 8,Brighton - Liverpool
7,ROUND 8,West Ham - Newcastle
8,ROUND 8,Wolves - Aston Villa
9,ROUND 8,Arsenal - Man City
10,ROUND 9,Liverpool - Everton
11,ROUND 9,Bournemouth - Wolves
12,ROUND 9,Brentford - Burnley
13,ROUND 9,Man City - Brighton
14,ROUND 9,Newcastle - Crystal Palace
15,ROUND 9,Nott'm Forest - Luton
16,ROUND 9,Chelsea - Arsenal
17,ROUND 9,Sheffield United - Man United
18,ROUND 9,Aston Villa - West Ham
19,ROUND 9,Tottenham - Fulham
20,ROUND 10,Crystal Palace - Tottenham
21,ROUND 10,Chelsea - Brentford
22,ROUND 10,Arsenal - Sheffield United
23,ROUND 10,Bournemouth - Burnley
24,ROUND 10,Wolves - Newcastle
25,ROUND 10,West Ham - Everton
26,ROUND 10,Aston Villa - Luton
27,ROUND 10,Brighton - Fulham
28,ROUND 10,Liverpool - Nott'm Forest
29,ROUND 10,Man United - Man City
30,ROUND 11,Fulham - Man United
31,ROUND 11,Brentford - West Ham
32,ROUND 11,Burnley - Crystal Palace
33,ROUND 11,Everton - Brighton
34,ROUND 11,Man City - Bournemouth
35,ROUND 11,Sheffield United - Wolves
36,ROUND 11,Newcastle - Arsenal
37,ROUND 11,Nott'm Forest - Aston Villa
38,ROUND 11,Luton - Liverpool
39,ROUND 11,Tottenham - Chelsea
40,ROUND 12,Wolves - Tottenham
41,ROUND 12,Arsenal - Burnley
42,ROUND 12,Crystal Palace - Everton
43,ROUND 12,Man United - Luton
44,ROUND 12,Bournemouth - Newcastle
45,ROUND 12,Aston Villa - Fulham
46,ROUND 12,Brighton - Sheffield United
47,ROUND 12,Liverpool - Brentford
48,ROUND 12,West Ham - Nott'm Forest
49,ROUND 12,Chelsea - Man City
50,ROUND 13,Brentford - Arsenal
51,ROUND 13,Burnley - West Ham
52,ROUND 13,Everton - Man United
53,ROUND 13,Fulham - Wolves
54,ROUND 13,Luton - Crystal Palace
55,ROUND 13,Man City - Liverpool
56,ROUND 13,Newcastle - Chelsea
57,ROUND 13,Nott'm Forest - Brighton
58,ROUND 13,Sheffield United - Bournemouth
59,ROUND 13,Tottenham - Aston Villa
60,ROUND 14,Arsenal - Wolves
61,ROUND 14,Bournemouth - Aston Villa
62,ROUND 14,Brentford - Luton
63,ROUND 14,Burnley - Sheffield United
64,ROUND 14,Chelsea - Brighton
65,ROUND 14,Liverpool - Fulham
66,ROUND 14,Man City - Tottenham
67,ROUND 14,Newcastle - Man United
68,ROUND 14,Nott'm Forest - Everton
69,ROUND 14,West Ham - Crystal Palace
70,ROUND 15,Aston Villa - Man City
71,ROUND 15,Brighton - Brentford
72,ROUND 15,Everton - Newcastle
73,ROUND 15,Fulham - Nott'm Forest
74,ROUND 15,Luton - Arsenal
75,ROUND 15,Sheffield United - Liverpool
76,ROUND 15,Tottenham - West Ham
77,ROUND 15,Wolves - Burnley
78,ROUND 15,Crystal Palace - Bournemouth
79,ROUND 15,Man United - Chelsea
80,ROUND 16,Aston Villa - Arsenal
81,ROUND 16,Brighton - Burnley
82,ROUND 16,Crystal Palace - Liverpool
83,ROUND 16,Everton - Chelsea
